kobs_MeCN,ln(kobs)_MeCN,kobs_toluene,ln(kobs)_toluene,L_C1-C2,Occupancy_C1-O,Energy_C1-O,LUMO,HOMO,dipole moment,polarizability,Ster_L,Ster_B1,Ster_B5,Ar_NBO_C1,Ar_NBO_C2,Ar_NBO_=O,Ar_NBO_-O,Ar_I_C=O,Ar_v_C=O
0.0816,-2.50593,0.0315,-3.45777,1.4912,1.99461,-1.06189,-0.0459,-0.33555,1.784807,81.547333,5.74,1.7,3.22,0.802,-0.141,-0.588,-0.696,343.9081,1859.57
0.1754,-1.74069,0.0704,-2.65356,1.48833,1.99453,-1.07192,-0.05216,-0.33184,0.782481,121.686333,9.37,1.89,3.35,0.803,-0.159,-0.596,-0.699,298.944,1851.44
0.0862,-2.45109,0.0465,-3.0683,1.49096,1.99317,-1.06423,-0.08041,-0.35253,3.631527,105.616333,7.72,1.7,3.23,0.802,-0.148,-0.588,-0.696,370.6431,1857.1
0.1748,-1.74411,0.0689,-2.6751,1.48905,1.9944,-1.05203,-0.04828,-0.34294,2.001726,101.253,7.75,2.17,3.22,0.804,-0.159,-0.593,-0.698,375.6318,1854.42
0.2628,-1.33636,0.0907,-2.4002,1.48338,1.99309,-1.01496,-0.03774,-0.29315,2.424742,164.862,10.61,1.7,3.24,0.807,-0.074,-0.61,-0.707,465.2161,1844.58
0.1512,-1.88915,0.0843,-2.47337,1.4895,1.99453,-1.06054,-0.06545,-0.33797,1.379376,105.074667,7.8,1.7,3.24,0.802,-0.152,-0.594,-0.697,212.6175,1851.91
0.5356,-0.62437,0.1708,-1.76726,1.48284,1.99447,-1.04181,-0.02018,-0.29271,2.835363,114.194,7.73,1.7,4.26,0.807,-0.192,-0.607,-0.704,443.2582,1843.97
0.1825,-1.70101,0.0711,-2.64367,1.48677,1.99448,-1.03917,-0.06295,-0.30681,4.854161,195.570667,9.03,1.7,8.74,0.807,-0.169,-0.601,-0.697,440.9969,1848.3
0.4249,-0.8559,0.1447,-1.93309,1.48546,1.99298,-1.05063,-0.06356,-0.30663,0.421494,159.631,11.48,1.98,3.31,0.822,-0.2,-0.606,-0.705,380.0807,1846.89
0.2442,-1.40977,0.1104,-2.20365,1.4832,1.99457,-1.04676,-0.0335,-0.32519,1.187799,107.261667,9.17,2.01,3.62,0.805,-0.204,-0.601,-0.701,403.831,1848.72
0.3462,-1.06074,0.1122,-2.18747,1.48492,1.99458,-1.04139,-0.04048,-0.28286,2.153034,139.794333,8.42,1.7,4.4,0.805,-0.199,-0.605,-0.701,385.7933,1844.96
0.2396,-1.42878,0.1068,-2.2368,1.48794,1.99446,-1.05807,-0.03863,-0.31222,0.515,110.667667,6.39,1.75,4.65,0.806,-0.16,-0.596,-0.699,396.7961,1850.7
0.3142,-1.15773,0.1146,-2.16631,1.48303,1.99443,-1.041,-0.02787,-0.32455,1.401134,87.797,6.99,1.7,3.22,0.806,-0.2,-0.603,-0.702,399.2394,1847.75
0.5212,-0.65162,0.2248,-1.49254,1.47804,1.99258,-1.03565,-0.01557,-0.29428,2.498155,108.160667,8.54,1.83,3.23,0.806,-0.225,-0.612,-0.704,425.3788,1838.69
0.1363,-1.9929,0.0499,-2.99773,1.4669,1.99493,-1.04479,-0.03242,-0.31302,2.019421,83.345667,5.65,1.75,3.24,0.786,-0.362,-0.596,-0.7,453.5742,1842.04
0.2599,-1.34746,0.0964,-2.33925,1.47778,1.99322,-1.0541,-0.01589,-0.29058,2.797209,228.025667,10.83,1.85,6.23,0.804,-0.097,-0.619,-0.71,433.3116,1838.28
0.2961,-1.21706,0.1279,-2.05651,1.48683,1.99277,-1.06864,-0.044,-0.30565,1.865759,161.974333,10.27,1.95,5.65,0.803,-0.184,-0.599,-0.699,401.7521,1849.08
0.107,-2.23493,0.0553,-2.89498,1.48967,1.99452,-1.06521,-0.06342,-0.3428,3.580211,106.038,8.22,1.7,3.22,0.802,-0.153,-0.59,-0.697,393.1043,1854.87
0.3737,-0.9843,0.1437,-1.94003,1.48462,1.99449,-1.05214,-0.0365,-0.31913,1.409978,103.992,7.66,1.75,3.23,0.805,-0.183,-0.6,-0.701,414.4241,1848.8
0.2995,-1.20564,0.1194,-2.12528,1.48677,1.99447,-1.05923,-0.03982,-0.27661,2.374176,203.797,9.66,1.7,8.88,0.8,-0.189,-0.601,-0.7,460.9876,1848.71
0.4376,-0.82645,0.2278,-1.47929,1.48369,1.99461,-1.38503,-0.0311,-0.28272,3.828808,300.469667,12.88,2.92,8.72,0.806,-0.206,-0.606,-0.701,436.5833,1843.25
